label,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49
Apple Braeburn,-7.230018,-18.34925,6.3230333,2.240981,5.3605423,7.899411,-21.559038,21.166027,-23.25535,-8.043708,-5.357208,-9.067918,-2.2666562,5.1118526,-1.3079517,-2.3116436,1.35135,-1.4668086,1.6792767,1.9147075,-0.27540994,-0.44757542,0.62904197,-0.7082003,-0.05272631,-0.13641508,0.2378076,-1.2057452,2.2565122,-0.40589517,0.24172968,-1.0298057,-1.2366306,-0.48259786,0.43715826,-1.4529955,1.2262691,1.1660624,0.5090865,-0.05064171,-0.3820584,0.52496415,0.24966273,-0.13524616,-0.4639021,-1.3942846,0.9698632,1.492249,0.8333198,-0.7474277
Orange,-11.105815,4.2011175,-8.481448,-10.574109,-0.43160778,2.1489675,-0.49809387,-4.4991074,0.7293865,-0.88132066,-0.35088277,-3.2672598,-2.5893323,2.834282,-0.7836356,0.6019062,-0.25192824,1.0329549,0.010596089,0.34363422,-2.2879856,1.7659153,-0.84064806,0.39787158,-0.30962634,0.24016081,-0.066229865,0.8418208,0.14094251,0.81011677,0.1513271,0.20658696,-0.4286194,-0.11599921,0.6213502,-1.9230925,-1.9647361,1.4626883,0.13950408,-0.10631243,0.24447513,-0.8161955,-0.57630384,-0.53494066,0.3766019,-0.6919685,-0.16983654,0.64233416,0.3148075,-0.88758194
Orange,-11.563327,2.5678046,-5.462719,-9.375908,-0.6498604,6.727183,-5.439274,-3.0400126,5.3454742,-0.89118516,0.5198053,1.9190227,3.5280225,-2.5749846,0.9122315,-1.1735857,2.8410616,-3.521626,-0.86684996,0.64927876,5.4205174,-2.9382403,3.0009315,-2.13505,1.2505814,-2.0927799,2.070099,-3.1332822,1.7046118,0.2851193,-3.42821,-2.882216,4.6547713,0.33246836,-0.78738123,3.4911325,6.3403587,-4.283399,-1.8084389,2.7886462,0.46751451,2.4585998,1.9717382,-1.6314749,-1.8062378,-1.0361973,-0.01635039,-2.2420814,0.8515213,0.44719243
Orange,-11.083643,4.2663097,-8.255706,-8.104217,0.17625505,2.184477,-1.2777846,-3.457963,0.7721749,-2.0245755,0.02875456,-1.7889173,-0.5251813,0.6845906,-0.07384683,1.938715,0.49169436,-0.31332564,-0.5811497,0.17221925,2.4561462,-1.001245,2.9314601,-0.7790886,0.2249662,-0.47753948,-1.864498,-0.13271248,0.67326814,-0.48177314,-0.14734603,0.39117768,-0.99644685,-0.47931764,0.8872953,-1.6743132,-3.1004927,2.5617592,0.38620356,0.7685615,0.9922946,-2.3617651,-1.2537854,-0.93018126,0.98192704,-0.69173384,-0.5491573,-0.47931585,0.6812943,0.8291577
Orange,-10.800754,3.1616352,-7.4591775,-9.139536,-0.0509528,1.9016604,-0.5632197,-4.177369,0.1940025,-1.3085396,0.08526082,-1.7233504,-1.8454691,2.032395,-0.6711837,0.6819739,0.89855653,0.80536044,0.13240807,0.28048176,-1.2340217,-0.009675362,-0.019471765,0.7062528,-0.043597274,1.1265855,-0.43855855,1.1803961,0.23049912,-0.1401609,1.9503255,0.5168258,-1.4344501,0.7196439,-0.051102374,0.08675579,-1.1444954,0.72247416,-1.293602,-1.6234095,0.7421921,-0.14656366,-1.6406056,0.16421802,-0.16209218,-0.47637296,-1.5835141,-0.89615804,0.45889646,-1.1551998
Orange,-10.064401,2.7051957,-8.328986,-9.797466,1.5861226,7.412148,-6.6775355,1.2003801,1.0383582,-0.09315965,1.9255744,3.7497234,5.093817,-5.357836,1.2694924,-1.9248276,0.34659418,-3.4269888,1.2078485,1.1561558,0.78177714,-2.3603108,3.3915668,-0.8066646,-2.248004,-0.789628,0.63469946,1.6070391,-6.1253,5.400743,-0.61672825,-1.5038038,0.72635007,1.0247849,-0.39685893,-1.9213234,0.4594918,-0.7114633,0.16099471,-0.3882469,-0.1926578,1.9632773,0.24664992,1.1851466,-0.60757744,0.5690497,-0.020908741,-0.03287233,-2.0932746,-0.5938691
Orange,-5.9167676,1.0714691,-7.3888144,-4.5849824,4.962677,12.676253,-10.659569,6.77861,-0.7216205,1.9629474,1.4321859,10.72213,10.70201,-9.502198,2.0321584,-4.3025756,-3.765455,-2.1821718,-0.10693169,0.028845605,-2.5679777,0.7664385,-2.0854464,0.75546235,-1.5460899,0.34774765,0.36258718,1.7750663,-1.9680657,1.6558764,0.53031766,0.15468071,-2.1439402,-0.19002998,1.3837671,-1.1665119,-2.8409772,1.6035619,1.5965229,-1.093451,-0.5205913,-0.71340245,-0.048642002,0.47042236,0.97917473,0.37967527,-0.6863529,2.5739214,1.6028812,1.1847507
Apple Braeburn,-11.4418545,-15.341623,6.311575,4.47332,0.4663687,2.1781297,-2.7899837,7.006521,4.07098,-1.1381862,-1.271282,1.6265733,2.8147354,-3.3206859,2.116854,9.571244,2.2893593,2.7203076,-0.93236387,-1.945169,-0.4631833,3.8001552,-3.4461112,0.97788286,-0.41903746,-1.3415228,-1.9618666,1.6504829,-3.546133,0.2840859,4.074455,-0.36063683,2.6820807,-2.213378,-2.8747077,2.3763292,-2.8142772,-1.14263,0.18956174,0.64976794,0.24489306,-0.5964973,-0.65905523,-0.38420892,-0.20194016,0.58148235,1.5092107,0.52943325,0.17602646,-0.39781305
Orange,-11.511351,2.6569579,-7.0232844,-12.260618,-0.8387261,3.4404802,-1.1860119,-4.8535676,1.7470992,0.002555181,0.4031503,-1.6642421,-1.9603095,2.0607572,-0.40585437,0.2745555,0.83450687,0.69164765,0.69906986,0.8019936,-1.251769,0.31181723,-3.0748544,0.9389679,2.07783,0.78273547,-0.07782706,-0.15072381,0.8550373,-0.96047395,1.5146312,0.47999978,0.41283807,0.89744645,-1.3570307,2.6076438,3.2724206,-3.030336,-1.3221548,-2.5651445,-2.2936866,3.2856948,-0.6572235,2.839118,-1.0329736,1.1230317,-0.4448391,-0.09371264,-2.8265147,-0.87297624
Orange,-11.195876,4.3023233,-8.19455,-7.708571,0.0023193492,2.541872,-1.3632903,-5.1782675,0.20724152,-1.6619076,0.11167499,-1.4805795,0.19785176,0.06335297,0.0363585,1.1080881,1.9702104,-2.4617906,-0.7455865,2.4027247,4.2400885,-0.66114557,2.787791,-0.47379255,-0.30141932,-0.26046097,-2.526682,-0.599716,0.29950848,-0.24424855,1.1638529,-0.2744406,-1.5677277,0.031474512,0.46521428,-0.60236603,-3.7150168,1.8387239,0.69610536,-0.16139705,0.63708603,-2.4540038,-0.32844436,-0.5745958,0.60799843,-0.1890467,-0.11036879,0.35790932,1.5481737,-0.9160651
